                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6209,                 3.0319,                 2.9583,                0.80676,                0.47758,                0.61249,                0.25702,                 2.0642,                 2.1267,                 2.5021,             0.00066469,             0.00066469,             0.00066469
                      2,                 1.6098,                 1.1513,                 1.8268,                0.75997,                0.64964,                0.72243,                0.36591,                 1.6442,                 1.4544,                 1.9997,               0.001305,               0.001305,               0.001305
                      3,                 1.4782,                 0.9135,                 1.6696,                0.84643,                0.72471,                0.81387,                0.43448,                 1.6398,                 1.1309,                  1.982,              0.0019189,              0.0019189,              0.0019189
                      4,                 1.3957,                0.83471,                 1.5892,                0.85569,                0.78728,                0.84024,                0.46841,                 1.5573,                 1.0009,                 1.8506,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3338,                  0.765,                 1.5351,                0.82405,                0.68926,                0.80707,                0.42359,                 1.5701,                 1.0424,                 1.8793,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.2912,                0.73296,                 1.4881,                 0.9151,                0.80922,                0.86613,                0.49198,                 1.5053,                0.89342,                 1.8364,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.266,                0.70964,                 1.4785,                0.94661,                 0.8269,                0.88763,                0.50357,                 1.5019,                0.85762,                 1.8055,               0.001802,               0.001802,               0.001802
                      8,                  1.236,                0.67858,                 1.4481,                0.90657,                0.82964,                0.88931,                0.48227,                 1.5371,                0.85939,                 1.9103,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1964,                0.66218,                 1.4068,                0.91287,                0.80842,                0.88588,                0.49695,                 1.5286,                0.91664,                 1.8927,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.1754,                0.63987,                  1.397,                0.90757,                0.82586,                0.89616,                0.51843,                 1.4478,                0.81163,                 1.7556,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.1455,                0.62497,                 1.3794,                0.94597,                0.84463,                0.90225,                0.50395,                 1.4989,                0.79721,                 1.8089,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1311,                0.60912,                 1.3764,                0.95065,                0.82354,                0.88877,                0.52354,                 1.4583,                0.81729,                 1.7743,               0.001604,               0.001604,               0.001604
                     13,                 1.1034,                0.58749,                 1.3486,                0.95663,                0.85106,                0.91506,                0.52622,                  1.458,                0.77248,                 1.7734,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0943,                0.58924,                 1.3382,                0.95661,                0.85193,                0.90708,                0.49599,                 1.5663,                0.78521,                  1.922,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.0769,                0.56489,                 1.3236,                0.93561,                0.83332,                  0.887,                0.48136,                 1.5577,                0.85791,                 1.8513,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0555,                0.55902,                 1.3133,                0.95762,                0.87185,                0.92088,                 0.5283,                 1.4711,                0.70389,                 1.8355,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0426,                0.55062,                 1.3052,                0.96363,                0.85659,                0.91787,                0.50962,                 1.5064,                0.73324,                 1.8629,               0.001406,               0.001406,               0.001406
                     18,                 1.0336,                0.54239,                 1.2932,                0.94272,                0.88113,                0.92167,                0.53226,                 1.4696,                0.69879,                 1.7898,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0226,                0.53054,                 1.2815,                0.94531,                 0.8634,                 0.9209,                0.52605,                 1.4642,                0.74193,                 1.7908,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0138,                0.52566,                 1.2808,                0.96058,                0.83316,                0.91581,                0.50755,                 1.5357,                0.74768,                 1.8999,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.0087,                0.52208,                 1.2719,                0.94862,                0.83733,                  0.907,                0.50938,                 1.5127,                0.74455,                 1.8365,              0.0012476,              0.0012476,              0.0012476
